lambda_vac_A,A_ul,upper_id,lower_id,g_upper,g_lower,E_cm1,E_lower_cm1
4416.36227,11900000.0,z5Go_J3,a3F_J2,7.0,5.0,22643.069994346275,12968.55
4428.55302,34100.0,z7Fo_J4,a5D_J3,9.0,7.0,22580.739024323568,415.93
4436.39407,4720.0,z7Fo_J1,a5D_J2,3.0,5.0,22540.8289755468,704.01
4460.36895,2520000.0,x5Do_J3,a5P_J3,7.0,7.0,22419.670014069125,17550.18
4462.905,29500.0,z7Fo_J3,a5D_J2,7.0,5.0,22406.930015315138,704.01
4467.8261,10460.0,z7Fo_J0,a5D_J1,1.0,3.0,22382.249837342595,888.13
4483.42715,20900.0,z7Fo_J2,a5D_J1,5.0,3.0,22304.36598038623,888.13
4490.99874,11900.0,z7Fo_J1,a5D_J0,3.0,1.0,22266.76198087733,978.07
4495.82412,3450000.0,x5Do_J3,a5P_J2,7.0,5.0,22242.86300594873,17726.99
4529.88389,5440000.0,x5Do_J4,a5P_J3,9.0,7.0,22075.62101553115,17550.18
4532.41849,252000.0,y5Fo_J4,a3F_J4,9.0,9.0,22063.275979619437,11976.24
4548.29185,15000.0,y5Fo_J2,a3F_J3,5.0,7.0,21986.276012609,12560.93
4593.93792,161000.0,y5Fo_J3,a3F_J3,7.0,7.0,21767.817010465827,12560.93
4599.61226,1242.0,z5Po_J2,a5F_J3,5.0,7.0,21740.963008912408,7728.06
4603.29007,73600.0,y5Fo_J1,a3F_J2,3.0,5.0,21723.593012681908,12968.55
4604.23027,172000.0,y5Fo_J5,a3F_J4,11.0,9.0,21719.156978653893,11976.24
4612.64017,1747.0,z5Po_J3,a5F_J4,7.0,9.0,21679.557978614233,7376.76
4631.4168,87960.0,x5Do_J3,a3P_J2,7.0,5.0,21591.664995471794,18378.19
4634.20891,75900.0,y5Fo_J2,a3F_J2,5.0,5.0,21578.65602135748,12968.55
4655.8011,56400.0,y5Fo_J4,a3F_J3,9.0,7.0,21478.58077528269,12560.93
4674.1382,5088.0,z3Po_J1,a3F_J2,3.0,5.0,21394.318208220713,12968.55
4675.9567,1200.0,z3Po_J2,a3F_J3,5.0,7.0,21385.997864351484,12560.93
4681.6048,7320.0,y5Fo_J3,a3F_J2,7.0,5.0,21360.196828232918,12968.55
4701.7346,3923.0,y3Do_J1,a5P_J2,3.0,5.0,21268.74621974622,17726.99
4734.9155,34100.0,y5Do_J4,a3F_J4,9.0,9.0,21119.701080198793,11976.24
4746.4557,8200.0,y3Do_J1,a5P_J1,3.0,3.0,21068.352117981423,17927.38
4766.8128,2824.0,z3Po_J2,a3F_J2,5.0,5.0,20978.377837703214,12968.55
4773.0307,34000.0,y3Do_J2,a5P_J2,5.0,5.0,20951.048984453417,17726.99
4774.1384,53000.0,y5Do_J3,a3F_J3,7.0,7.0,20946.187902721882,12560.93
4800.0729,4100.0,y5Do_J2,a3F_J2,5.0,5.0,20833.01693188868,12968.55
4819.125,21000.0,y3Do_J2,a5P_J1,5.0,3.0,20750.654942546622,17927.38
4850.2373,62470.0,y3Do_J1,a3P_J2,3.0,5.0,20617.54792904669,18378.19
4890.3665,113000.0,y3Do_J3,a5P_J2,7.0,5.0,20448.365168541048,17726.99
